survey_timestamp,participant_class,college ,department,Gender,race,computer_user_type,pc/laptop,purchase_year,screen_size,screen_size_other,warranty,webcam,computer_rating,computer_model,computer_ownership,os,os_version,processor,memory,harddisk,data_sizein_computer,data_backup,backup_method,external_backup_disk_brand,cloud_brand,backup_freq,automatic_backup,loss_of_data,have-secondary_computer,secondary_primary_sync,have_smartphone,smartphone_brand,smartphone_model,have_smartwatch,smartwatch_brand,smartwatch_model,confidence_level_on_sw_installation,internet_speed,internet_connection_reliability,Completion_status
[not completed],Senior,,Computer Science,Male,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Freshman,,Chemistry,Male,African American,,Laptop,,14'',,3 year,External,Good,,University property,Windows OS,,,16 GB,1 TB,,Yes,Both,WD,Google Drive,Weekly,Yes,No,Yes,No,,Google,,,Fitbit,,,,,Incomplete
6/15/2020 17:36,Doctoral Student (PhD),,Computer Science,Male,International (visa holders),,Laptop,,14'',,1 year,Built-in to my computer,Good,,University property,Chrome OS,,,16 GB,512 GB,,Yes,Both,WD,Google Drive,Daily,Yes,No,Yes,No,,Samsung,,,Samsung,,Neutral,,Average,Complete
6/16/2020 8:34,Freshman,,Biology and Biochemistry,Male,White,,Laptop,,15'',,3 year,Built-in to my computer,Average,,University property,Mac OS,,,4 GB,128 GB,,Yes,Cloud,,Microsoft OneDrive,Weekly,Yes,Yes,Yes,Yes,,Samsung,,,Samsung,,Somewhat confident,,Average,Complete
6/16/2020 10:41,Senior,,Computer Science,Male,International (visa holders),,Laptop,,14'',,1 year,Built-in to my computer,Average,,Own,Windows OS,,,16 GB,512 GB,,Yes,Both,WD,Microsoft OneDrive,Weekly,Yes,Yes,Yes,No,,Google,,,Samsung,,Neutral,,Average,Complete
6/16/2020 14:07,Sophomore,,Computer Science,Male,Asian American,,Laptop,2019,14'',,3 year,External,Average,Lenovo Yoga,Own,Windows OS,Windows 10 Home,Intel Core i7,8 GB,256 GB,100 GB - 500 GB,Yes,Both,WD,Google Drive,Daily,Yes,No,Yes,No,No,,,No,,,Neutral,100 - 300 Mbps,Average,Complete
[not completed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/16/2020 14:12,Post-Baccalaureate (non-degree option),,Computer Science,Female,International (visa holders),,Laptop,2019,14'',,3 year,External,Average,Apple Macbook Air,University property,Windows OS,Windows 10 Home,Intel Core i9,16 GB,512 GB,100 GB - 500 GB,No,,,,,,Yes,Yes,No,Yes,Google,Google Pixel 4,Yes,Samsung,Samsung Galaxy Watch,Neutral,100 - 300 Mbps,Average,Complete
6/16/2020 15:30,Senior,,Chemistry,Female,International (visa holders),,Laptop,2019,14'',,3 year,External,Average,Dell Inspiron 7000,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Both,WD,Google Drive,Weekly,Yes,No,No,,Yes,iPhone,Google Pixel 4,Yes,Samsung,Samsung Galaxy Watch,Neutral,< 100 Mbps,Average,Complete
6/16/2020 17:36,Masters Student (MS),,Computer Science,Male,International (visa holders),,Laptop,2019,14'',,1 year,Built-in to my computer,Good,Apple Macbook Air,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Both,WD,Google Drive,Weekly,Yes,No,No,,Yes,iPhone,iPhone 8,Yes,Apple Watch,Apple Watch 4,Neutral,< 100 Mbps,Average,Complete
[not completed],Instructional Faculty,,Chemistry,Male,International (visa holders),,Laptop,2019,14'',,1 year,Built-in to my computer,Good,Apple Macbook Air,Own,Windows OS,Windows 10 Home,Intel Core i9,16 GB,512 GB,100 GB - 500 GB,No,,,,,,No,No,,No,,,No,,,,,,Incomplete
[not completed],Senior,,Computer Science,Male,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/16/2020 21:57,Masters Student (MS),,Computer Science,Male,International (visa holders),,Laptop,2019,15'',,No,Built-in to my computer,Good,Dell Inspiron 3000,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Both,WD,Google Drive,Daily,Yes,No,Yes,No,Yes,iPhone,iPhone 8,Yes,Apple Watch,Apple Watch 4,Neutral,< 100 Mbps,Good,Complete
[not completed],Sophomore,,Chemistry,Male,International (visa holders),,Laptop,2020,15'',,1 year,External,Average,Dell Latitude 5000,Own,Mac OS,Catalina,Intel Core i9,16 GB,512 GB,100 GB - 500 GB,,,,,,,,,,,,,,,,,,,Incomplete
